Name,Type
Nagyburgundi,Red
Nere,Red
Neyran,Red
Neyron Petit,Red
Noble,Red
Noble Joue,Red
Noir De Franconier,Red
Noir De Versitch,Red
Noir Menu,Red
Noir Meun,Red
Noiried,Red
Noirien,Red
Noirien Franc,Red
Noirien Ternent,Red
Noirin,Red
Noirun,Red
Okrugla Ranka,Red
Ordinaerer Blauer,Red
Ordinaerer Rother,Red
Orleans,Red
Petit Noir,Red
Petit Noirin,Red
Petit Plant Dore,Red
Petit Verot,Red
Pignol,Red
Pignola,Red
Pignolet,Red
Pignoliga,Red
Pignolo,Red
Pignuola,Red
Pimbart,Red
Pineau,Red
Pineau De Bourgogne,Red
Pineau De Bourgoyne,Red
Pineau De Chambertin,Red
Pineau De Gevrey,Red
Pineau Franc,Red
Pineau Noir,Red
Pino Black,Red
Pino Ceren,Red
Pino Cernii,Red
Pino Cheren,Red
Pino Chernyi,Red
Pino Chernyj,Red
Pino Corni,Red
Pino Cornij,Red
Pino Fran,Red
Pino Go,Red
Pino Negru,Red
Pino Nero,Red
Pino Nuar,Red
Pino Qo,Red
Pinot,Red
Pinot Cernii,Red
Pinot Clevner Cl Maria- Feld,Red
Pinot Crni,Red
Pinot D'Ay,Red
Pinot De Chambertin,Red
Pinot De Fleury,Red
Pinot De Gevrey,Red
Pinot De Migraine,Red
Pinot Droit,Red
Pinot Fin,Red
Pinot Franc Noir,Red
Pinot Mare,Red
Pinot Mariafeld,Red
Pinot Negru,Red
Pinot Nera,Red
Pinot Nero,Red
Pinot Noar,Red
Pinot Noir Cortaillod,Red
Pinot Noir Cortaillod 9-18,Red
Pinot Noir Salvagnin,Red
Pinot Salvagnin,Red
Pinot Tinto,Red
Plack Morillon,Red
Plant A Bon Vin,Red
Plant Dae,Red
Plant De Cumieres,Red
Plant De La Dole Noir,Red
Plant De S Martin,Red
Plant Dore,Red
Plant Fin,Red
Plant Medaille,Red
Plant Noble,Red
Pynoz,Red
Qara Pino,Red
Raisin De Bourgogne,Red
Raucy,Red
Raucy Male,Red
Roter Assmannhaeuser,Red
Roter Assmannshaeuser,Red
Roter Burgunder,Red
Rother,Red
Rother Assmannshaeuser,Red
Rother Burgunder,Red
Rouci,Red
Rouci Male,Red
Rouci Modre,Red
Roucimodre,Red
Rouget,Red
Rulandske Modre,Red
Salvagnin,Red
Salvagnin Noir,Red
Samoireau,Red
Samoreau,Red
Samtrot,Red
Saumensois,Red
Saumoireau,Red
Savagin Noir,Red
Savagnin Noir,Red
Schurzir Riesling,Red
Schwartz Klevner,Red
Schwarz Traeuble,Red
Schwarzblauer Klevner,Red
Schwarze Fraenkische,Red
Schwarzer,Red
